Dividend  Divisor Quotient Remainder
00000000 00000001 00000000 00000000
00000001 00000001 00000001 00000000
00000001 00000002 00000000 00000001
00000002 00000001 00000002 00000000
FFFFFFFF 00000001 FFFFFFFF 00000000
FFFFFFFF 00000002 7FFFFFFF 00000001
FFFFFFFF FFFFFFFF 00000001 00000000
FFFFFFFF 00000000 FFFFFFFF FFFFFFFF
E848A5CA 752E7465 00000001 731A3165
0DE8CD59 C409EDE2 00000000 0DE8CD59
4CE25B65 28821397 00000001 246047CE
7B4F5EFA 4D27EF96 00000001 2E276F64
1B63844D 59AE67D7 00000000 1B63844D
BDEE1069 0EF10DCF 0000000C 0AA16AB5
AE5B202A 67A18BCD 00000001 46B9945D
6D644532 36F4366B 00000001 36700EC7
557EB669 D91E6B12 00000000 557EB669
34632309 6569F4BF 00000000 34632309
94B48709 FF4DEF8D 00000000 94B48709
9482C936 E813C2A0 00000000 9482C936
AAC03495 226FDFF9 00000004 2100B4B1
4F24FA0F 68EE3A7E 00000000 4F24FA0F
63B1EBFF 3B4DE6D3 00000001 2864052C
5983D30A 1BA5829B 00000003 06934B39
30D140E2 5857F96D 00000000 30D140E2
DF8284A6 7D20AE7B 00000001 6261D62B
ACDFC8DA F3E9166A 00000000 ACDFC8DA
51413960 B8FA32EA 00000000 51413960
AFCA6F9E 681F51F3 00000001 47AB1DAB
B1B6EC9E 13F40417 00000008 1216CBE6
F65A3FDA FD005905 00000000 F65A3FDA
CFF29C9D 6E5F3BD7 00000001 619360C6
985EEFF7 137F91F2 00000007 0FE1F259
AE19C871 55963185 00000002 02ED6567
F4C5A13A F3739861 00000001 015208D9
10114134 B936D737 00000000 10114134
A2CFAA80 FA3BE09C 00000000 A2CFAA80
53C67797 9BEF6F80 00000000 53C67797
B6467424 D3A5FE64 00000000 B6467424
925C87F8 DBC4098E 00000000 925C87F8
B0D343B1 D36EE172 00000000 B0D343B1
88B3A2AC D56D204D 00000000 88B3A2AC
2CE4A5F7 4A64FB32 00000000 2CE4A5F7
D8A17A45 0723BFD7 0000001E 0270FF13
AF826380 598359E7 00000001 55FF0999
93C1A535 73A72EF4 00000001 201A7641
8CB0E249 4ADEC207 00000001 41D22042
7469A27A BCEA9475 00000000 7469A27A
4DC302B7 24FAA8DC 00000002 03CDB0FF
E58846C2 6CB846CA 00000002 0C17B92E
2EFC88F4 F38EE91C 00000000 2EFC88F4
7EB2DAF8 42FEA82A 00000001 3BB432CE
D18C6954 E2C5D644 00000000 D18C6954
